WeekEnding,Country,SIMDQuintile,CardioAdmissions,Average20182019,PercentVariation
20220116,S92000003,2,81,95,-14.7
20220116,S92000003,3,68,93,-26.9
20220116,S92000003,4,77,66,16.7
20220116,S92000003,5,54,67.5,-20
20220123,S92000003,1,94,110,-14.5
20220123,S92000003,2,89,90.5,-1.7
20220123,S92000003,3,76,80.5,-5.6
20220123,S92000003,4,67,83,-19.3
20220123,S92000003,5,55,55.5,-0.9
20220130,S92000003,1,100,117,-14.5
20220130,S92000003,2,85,91,-6.6
20220130,S92000003,3,73,86.5,-15.6
20220130,S92000003,4,79,86,-8.1
20220130,S92000003,5,50,53,-5.7
20220206,S92000003,1,89,115,-22.6
20220206,S92000003,2,69,108.5,-36.4
20220206,S92000003,3,88,83,6
20220206,S92000003,4,90,91,-1.1
20220206,S92000003,5,55,62,-11.3
20220213,S92000003,1,98,119.5,-18
20220213,S92000003,2,88,86,2.3
20220213,S92000003,3,75,79.5,-5.7
20220213,S92000003,4,94,80,17.5
20220213,S92000003,5,58,62,-6.5
20220220,S92000003,1,98,117,-16.2
20220220,S92000003,2,89,98,-9.2
20220220,S92000003,3,69,93.5,-26.2
20220220,S92000003,4,96,87,10.3
20220220,S92000003,5,60,65.5,-8.4
20220227,S92000003,1,112,107.5,4.2
20220227,S92000003,2,66,87.5,-24.6
20220227,S92000003,3,100,79,26.6
20220227,S92000003,4,93,85.5,8.8
20220227,S92000003,5,67,61.5,8.9
20220306,S92000003,1,80,106.5,-24.9
20220306,S92000003,2,65,85.5,-24
20220306,S92000003,3,101,86.5,16.8
20220306,S92000003,4,76,101.5,-25.1
20220306,S92000003,5,45,69.5,-35.3
20220313,S92000003,1,105,111,-5.4
20220313,S92000003,2,86,95,-9.5
20220313,S92000003,3,102,100.5,1.5
20220313,S92000003,4,77,87,-11.5
20220313,S92000003,5,51,63.5,-19.7
20220320,S92000003,1,87,100.5,-13.4
20220320,S92000003,2,67,85,-21.2
20220320,S92000003,3,77,93,-17.2
20220320,S92000003,4,86,88.5,-2.8
20220320,S92000003,5,44,66.5,-33.8
20220327,S92000003,1,70,118,-40.7
20220327,S92000003,2,75,91.5,-18
20220327,S92000003,3,83,88,-5.7
20220327,S92000003,4,91,83,9.6
20220327,S92000003,5,50,52,-3.8
20220403,S92000003,1,67,100,-33
20220403,S92000003,2,63,80,-21.2
20220403,S92000003,3,90,85,5.9
20220403,S92000003,4,75,84.5,-11.2
20220403,S92000003,5,58,59.5,-2.5
20220410,S92000003,1,92,130,-29.2
20220410,S92000003,2,64,85.5,-25.1
20220410,S92000003,3,86,80,7.5
20220410,S92000003,4,67,78,-14.1
20220410,S92000003,5,55,54,1.9
20220417,S92000003,1,88,110,-20
20220417,S92000003,2,80,88.5,-9.6
20220417,S92000003,3,70,90,-22.2
20220417,S92000003,4,90,90,-0
20220417,S92000003,5,51,65,-21.5
20220424,S92000003,1,93,119.5,-22.2
20220424,S92000003,2,82,89,-7.9
20220424,S92000003,3,81,88.5,-8.5
20220424,S92000003,4,94,78,20.5
20220424,S92000003,5,45,57.5,-21.7
20220501,S92000003,1,80,103,-22.3
20220501,S92000003,2,71,92.5,-23.2
20220501,S92000003,3,90,93,-3.2
20220501,S92000003,4,75,89,-15.7
20220501,S92000003,5,52,59,-11.9
20220508,S92000003,1,72,107.5,-33
20220508,S92000003,2,78,85,-8.2
20220508,S92000003,3,80,71.5,11.9
20220508,S92000003,4,66,72,-8.3
20220508,S92000003,5,52,52.5,-1
20220515,S92000003,1,109,109.5,-0.5
20220515,S92000003,2,68,95.5,-28.8
20220515,S92000003,3,84,87.5,-4
20220515,S92000003,4,82,81.5,0.6
20220515,S92000003,5,60,64.5,-7
20220522,S92000003,1,78,111,-29.7
20220522,S92000003,2,77,76.5,0.7
20220522,S92000003,3,96,79.5,20.8
20220522,S92000003,4,56,74.5,-24.8
20220522,S92000003,5,51,61.5,-17.1
20220529,S92000003,1,92,106,-13.2
20220529,S92000003,2,65,76.5,-15
20220529,S92000003,3,80,87,-8
20220529,S92000003,4,87,84,3.6
20220529,S92000003,5,58,60,-3.3
20220605,S92000003,1,84,104.5,-19.6
20220605,S92000003,2,76,79.5,-4.4
20220605,S92000003,3,59,82,-28
20220605,S92000003,4,85,69,23.2
20220605,S92000003,5,53,59,-10.2
20220612,S92000003,1,93,103.5,-10.1
20220612,S92000003,2,83,79.5,4.4
20220612,S92000003,3,87,81,7.4
20220612,S92000003,4,81,71.5,13.3
20220612,S92000003,5,48,58.5,-17.9
20220619,S92000003,1,79,97,-18.6
20220619,S92000003,2,73,73,-0
20220619,S92000003,3,81,84,-3.6
20220619,S92000003,4,65,77.5,-16.1
20220619,S92000003,5,51,63.5,-19.7
20220626,S92000003,1,78,86,-9.3
20220626,S92000003,2,73,81,-9.9
20220626,S92000003,3,72,76,-5.3
20220626,S92000003,4,81,74.5,8.7
20220626,S92000003,5,48,46.5,3.2
20220703,S92000003,1,87,84,3.6
20220703,S92000003,2,66,88,-25
20220703,S92000003,3,77,75,2.7
20220703,S92000003,4,75,67,11.9
20220703,S92000003,5,50,59.5,-16
20220710,S92000003,1,62,98.5,-37.1
20220710,S92000003,2,77,88.5,-13
20220710,S92000003,3,59,76.5,-22.9
20220710,S92000003,4,62,76,-18.4
20220710,S92000003,5,53,54.5,-2.8
20220717,S92000003,1,80,100.5,-20.4
20220717,S92000003,2,73,90.5,-19.3
20220717,S92000003,3,79,71,11.3
20220717,S92000003,4,72,79.5,-9.4
20220717,S92000003,5,57,45,26.7
20220724,S92000003,1,83,108.5,-23.5
20220724,S92000003,2,81,79.5,1.9
20220724,S92000003,3,87,75.5,15.2
