month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2017-05-01,S08000022,18-74,902,29
2017-05-01,S08000022,75plus,2933,95
2017-05-01,S08000024,18plus,9084,293
2017-05-01,S08000024,18-74,2817,91
2017-05-01,S08000024,75plus,6267,202
2017-05-01,S08000025,18plus,63,2
2017-05-01,S08000025,18-74,14,0
2017-05-01,S08000025,75plus,49,2
2017-05-01,S08000026,18plus,47,2
2017-05-01,S08000026,18-74,21,1
2017-05-01,S08000026,75plus,26,1
2017-05-01,S08000028,18plus,582,19
2017-05-01,S08000028,18-74,70,2
2017-05-01,S08000028,75plus,512,17
2017-05-01,S08000029,18plus,2369,76
2017-05-01,S08000029,18-74,542,17
2017-05-01,S08000029,75plus,1827,59
2017-05-01,S08000030,18plus,2973,96
2017-05-01,S08000030,18-74,1467,47
2017-05-01,S08000030,75plus,1506,49
2017-05-01,S08000031,18plus,4327,140
2017-05-01,S08000031,18-74,1972,64
2017-05-01,S08000031,75plus,2355,76
2017-05-01,S08000032,18plus,6196,200
2017-05-01,S08000032,18-74,1546,50
2017-05-01,S08000032,75plus,4650,150
2017-05-01,S92000003,18plus,39651,1279
2017-05-01,S92000003,18-74,12337,398
2017-05-01,S92000003,75plus,27314,881
2017-06-01,S08000015,18plus,2096,70
2017-06-01,S08000015,18-74,511,17
2017-06-01,S08000015,75plus,1585,53
2017-06-01,S08000016,18plus,910,30
2017-06-01,S08000016,18-74,270,9
2017-06-01,S08000016,75plus,640,21
2017-06-01,S08000017,18plus,721,24
2017-06-01,S08000017,18-74,109,4
2017-06-01,S08000017,75plus,612,20
2017-06-01,S08000019,18plus,2067,69
2017-06-01,S08000019,18-74,582,19
2017-06-01,S08000019,75plus,1485,50
2017-06-01,S08000020,18plus,4316,144
2017-06-01,S08000020,18-74,1262,42
2017-06-01,S08000020,75plus,3054,102
2017-06-01,S08000022,18plus,3609,120
2017-06-01,S08000022,18-74,869,29
2017-06-01,S08000022,75plus,2740,91
2017-06-01,S08000024,18plus,9129,304
2017-06-01,S08000024,18-74,2815,94
2017-06-01,S08000024,75plus,6314,210
2017-06-01,S08000025,18plus,118,4
2017-06-01,S08000025,18-74,0,0
2017-06-01,S08000025,75plus,118,4
